"","county","Tract","FIPS","County","Bay Area"
"395","013",33693,"06013312000",82881,87000
"396","013",43717,"06013313101",82881,87000
"397","013",66076,"06013313102",82881,87000
"398","013",87332,"06013313103",82881,87000
"399","013",78188,"06013313203",82881,87000
"400","013",66286,"06013313204",82881,87000
"401","013",85069,"06013313205",82881,87000
"402","013",54179,"06013313206",82881,87000
"403","013",55698,"06013314102",82881,87000
"404","013",43212,"06013314103",82881,87000
"405","013",44804,"06013314104",82881,87000
"406","013",47440,"06013314200",82881,87000
"407","013",79732,"06013315000",82881,87000
"408","013",36563,"06013316000",82881,87000
"409","013",71548,"06013317000",82881,87000
"410","013",75221,"06013318000",82881,87000
"411","013",77695,"06013319000",82881,87000
"412","013",75438,"06013320001",82881,87000
"413","013",112161,"06013320003",82881,87000
"414","013",96455,"06013320004",82881,87000
"415","013",98234,"06013321101",82881,87000
"416","013",114242,"06013321102",82881,87000
"417","013",112669,"06013321103",82881,87000
"418","013",64056,"06013321200",82881,87000
"419","013",96354,"06013322000",82881,87000
"420","013",101037,"06013323000",82881,87000
"421","013",85851,"06013324001",82881,87000
"422","013",88342,"06013324002",82881,87000
"423","013",89884,"06013325000",82881,87000
"424","013",114844,"06013326000",82881,87000
"425","013",56217,"06013327000",82881,87000
"426","013",28656,"06013328000",82881,87000
"427","013",81884,"06013329000",82881,87000
"428","013",72659,"06013330000",82881,87000
"429","013",67695,"06013331000",82881,87000
"430","013",87173,"06013332000",82881,87000
"431","013",80909,"06013333101",82881,87000
"432","013",90222,"06013333102",82881,87000
"433","013",72903,"06013333200",82881,87000
"434","013",80612,"06013334001",82881,87000
"435","013",71250,"06013334004",82881,87000
"436","013",120735,"06013334006",82881,87000
"437","013",145783,"06013334200",82881,87000
"438","013",74259,"06013335000",82881,87000
"439","013",47500,"06013336101",82881,87000
"440","013",37299,"06013336102",82881,87000
"441","013",59944,"06013336201",82881,87000
"442","013",41723,"06013336202",82881,87000
"443","013",95857,"06013337100",82881,87000
"444","013",67138,"06013337200",82881,87000
"445","013",122520,"06013337300",82881,87000
"446","013",54870,"06013338101",82881,87000
"447","013",103869,"06013338102",82881,87000
"448","013",101042,"06013338201",82881,87000
"449","013",93779,"06013338203",82881,87000
"450","013",92759,"06013338204",82881,87000
"451","013",134861,"06013338301",82881,87000
"452","013",159917,"06013338302",82881,87000
"453","013",72620,"06013339001",82881,87000
"454","013",65879,"06013339002",82881,87000
"455","013",68872,"06013340001",82881,87000
"456","013",117332,"06013340002",82881,87000
"457","013",116346,"06013341000",82881,87000
"458","013",98167,"06013343001",82881,87000
"459","013",93528,"06013343002",82881,87000
"460","013",128111,"06013343003",82881,87000
"461","013",115897,"06013345101",82881,87000
"462","013",125801,"06013345102",82881,87000
"463","013",130319,"06013345103",82881,87000
"464","013",115625,"06013345105",82881,87000
"465","013",120436,"06013345108",82881,87000
"466","013",121375,"06013345111",82881,87000
"467","013",101528,"06013345112",82881,87000
"468","013",157986,"06013345113",82881,87000
"469","013",150641,"06013345114",82881,87000
"470","013",165893,"06013345115",82881,87000
"471","013",150776,"06013345116",82881,87000
"472","013",114852,"06013345202",82881,87000
"473","013",138929,"06013345203",82881,87000
"474","013",183333,"06013345204",82881,87000
"475","013",148146,"06013346101",82881,87000
"476","013",187188,"06013346102",82881,87000
"477","013",161891,"06013346201",82881,87000
"478","013",128603,"06013346203",82881,87000
"479","013",181523,"06013346204",82881,87000
"480","013",155750,"06013347000",82881,87000
"481","013",182143,"06013348000",82881,87000
"482","013",113819,"06013349000",82881,87000
"483","013",92734,"06013350000",82881,87000
"484","013",49115,"06013351101",82881,87000
"485","013",44598,"06013351102",82881,87000
"486","013",71333,"06013351103",82881,87000
"487","013",200750,"06013351200",82881,87000
"488","013",164432,"06013352101",82881,87000
"489","013",171802,"06013352102",82881,87000
"490","013",122188,"06013352201",82881,87000
"491","013",113611,"06013352202",82881,87000
"492","013",177679,"06013353001",82881,87000
"493","013",161780,"06013353002",82881,87000
"494","013",173021,"06013354001",82881,87000
"495","013",219556,"06013354002",82881,87000
"496","013",84107,"06013355107",82881,87000
"497","013",93927,"06013355108",82881,87000
"498","013",92167,"06013355109",82881,87000
"499","013",81618,"06013355110",82881,87000
"500","013",81761,"06013355111",82881,87000
"501","013",162500,"06013355112",82881,87000
